article_idx,article_id,url,title,in_training,dominant_prob_seed42,companion_stability
54,technology/2025/may/21/every-person-that-clashed-with-him-has-left-the-rise-fall-and-spectacular-comeback-of-sam-altman,https://www.theguardian.com/technology/2025/may/21/every-person-that-clashed-with-him-has-left-the-rise-fall-and-spectacular-comeback-of-sam-altman,"‘Every person that clashed with him has left’: the rise, fall and spectacular comeback of Sam Altman",yes,0.3482,0.077
55,law/2023/mar/07/australia-federal-human-rights-act-commission-targets-robodebt-covid-policies-indefinite-detention,https://www.theguardian.com/law/2023/mar/07/australia-federal-human-rights-act-commission-targets-robodebt-covid-policies-indefinite-detention,"AHRC targets robodebt, Covid policies and indefinite detention in push for federal human rights act",yes,0.5579,0.2439
56,society/2024/jan/22/nhs-drug-shortages-are-partly-a-political-failure,https://www.theguardian.com/society/2024/jan/22/nhs-drug-shortages-are-partly-a-political-failure,NHS drug shortages are partly a political failure | Letters,yes,0.4371,0.3429
57,australia-news/2024/dec/06/two-australian-teens-convicted-under-counter-terrorism-laws-as-afp-and-asio-warn-of-early-signs-of-radicalisation,https://www.theguardian.com/australia-news/2024/dec/06/two-australian-teens-convicted-under-counter-terrorism-laws-as-afp-and-asio-warn-of-early-signs-of-radicalisation,AFP and Asio warn of ‘shocking’ numbers of teens in terrorism cases,yes,0.3723,0.2189
58,environment/2025/jul/22/in-a-bombed-out-reservoir-ukraine-huge-forest-grown-a-return-to-life-or-toxic-timebomb,https://www.theguardian.com/environment/2025/jul/22/in-a-bombed-out-reservoir-ukraine-huge-forest-grown-a-return-to-life-or-toxic-timebomb,In Ukraine’s bombed out reservoir a huge forest has grown – is it a return to life or a toxic timebomb?,yes,0.7911,0.5364
59,world/2024/dec/14/west-africa-architectural-heritage-lome-togo,https://www.theguardian.com/world/2024/dec/14/west-africa-architectural-heritage-lome-togo,"Restore, destroy or leave to rot? Battle lines drawn over west Africa’s architectural heritage",yes,0.3048,0.0797
60,society/article/2024/jun/17/teachers-gps-staggering-extra-demands-poverty-great-britain,https://www.theguardian.com/society/article/2024/jun/17/teachers-gps-staggering-extra-demands-poverty-great-britain,Teachers and GPs ‘staggering’ under extra demands caused by poverty in Great Britain,yes,0.5091,0.2967
61,australia-news/2023/jul/07/how-the-coalition-collaborated-with-friendly-media-to-silence-robodebt-victims,https://www.theguardian.com/australia-news/2023/jul/07/how-the-coalition-collaborated-with-friendly-media-to-silence-robodebt-victims,How the Coalition collaborated with ‘friendly media’ to silence robodebt victims,yes,0.9989,0.1437
62,australia-news/article/2024/may/08/home-affairs-savaged-by-australian-audit-office-for-poor-oversight-of-dodgy-migration-agents,https://www.theguardian.com/australia-news/article/2024/may/08/home-affairs-savaged-by-australian-audit-office-for-poor-oversight-of-dodgy-migration-agents,Home affairs savaged by Australian audit office for poor oversight of dodgy migration agents,yes,0.6711,0.2427
63,uk-news/2024/feb/23/community-capital-ownerless-scottish-properties-to-be-offered-to-local-schemes,https://www.theguardian.com/uk-news/2024/feb/23/community-capital-ownerless-scottish-properties-to-be-offered-to-local-schemes,Ownerless Scottish properties to be handed to local communities,yes,0.375,0.1858
64,australia-news/2024/apr/18/sydney-church-stabbing-social-media-posts-facebook-taken-down-nsw-premier-chris-minns-ntwnfb,https://www.theguardian.com/australia-news/2024/apr/18/sydney-church-stabbing-social-media-posts-facebook-taken-down-nsw-premier-chris-minns-ntwnfb,Sydney church stabbing: social media pages ‘infamous’ for spreading misinformation taken down,yes,0.3035,0.1781
